44779, 44780
17968, 17970
18025, 18057
62984, 63022
11889, 11890
49224, 49227
17989, 17990
62978, 62983
39566, 39567
17982, 17983
29087, 29088
22477, 22478
39882, 39883
44521, 44522
39876, 39877
24051, 24052
34024, 34025
18115, 18116
59117, 59118
41401, 41402
49131, 49132
52674, 52675
16404, 38760
63013, 63033
41612, 41613
17994, 63045
33147, 33148
51417, 51418
46113, 58282
62951, 62957
63002, 63003
25504, 25505
50033, 50034
44340, 44341
9256, 9257
17220, 17221
62991, 63037
14927, 24679
34019, 34020
18090, 18092
33399, 33401
18015, 18023
19977, 19979
18016, 18017
18071, 18073
25138, 25139
62985, 62993
62949, 62952
19445, 19446
18043, 18044
50110, 50606
18038, 18048
18124, 18125
18118, 18119
21991, 21992
63029, 63032
22493, 22494
60764, 60765
18064, 18067
17991, 17997
18108, 18109
46816, 46817
63005, 63036
16729, 35710
50743, 50744
40704, 57133
60705, 60706
43127, 43128
44737, 44739
14790, 25263
37824, 56648
20341, 20342
30221, 30222
49806, 49807
41672, 41673
16521, 16523
30314, 30315
30559, 30560
11938, 11939
18113, 18117
29407, 29408
38038, 38039
32385, 32386
31632, 31633
17998, 18008
14165, 14166
18082, 18083
11472, 11473
32701, 57931
31895, 31897
22972, 22973
18052, 18053
25634, 25635
63007, 63009
39635, 39636
24049, 24050
48132, 48133
11550, 26433
62977, 62998
34053, 34054
49157, 49158
45009, 45010
17949, 17950
30534, 30535
18032, 18033
47907, 47908
27029, 27030
12107, 49528
5912, 5913
26553, 33196
7727, 7728
24078, 24079
62959, 62962
22479, 63050
17987, 17988
30427, 30428
62903, 62936
18133, 18134
53245, 53246
13478, 13479
39469, 39470
8316, 39071
18795, 18796
12781, 12782
62980, 62981
49920, 50671
34023, 34026
32713, 32714
33830, 33831
62958, 62961
18014, 18022
16495, 16496
26128, 45670
20867, 20868
8019, 20078
36339, 36340
41676, 41677
18084, 18085
62979, 63046
57496, 57498
36271, 36272
14858, 14859
23547, 23548
15483, 15484
20218, 45482
62938, 62939
62904, 62907
38454, 46317
9848, 15243
23311, 23312
11015, 11016
40083, 40084
31177, 53350
22542, 22543
38250, 38252
5851, 5852
18000, 18004
39584, 39585
18055, 18056
31302, 40764
49278, 49279
12072, 12073
38031, 38033
52817, 52818
18126, 18127
30238, 33770
49356, 49357
23080, 23081
17096, 17097
14857, 53423
45005, 45007
50941, 50942
17973, 17977
17462, 17463
20546, 23706
17985, 18005
16468, 26496
5901, 5902
62966, 62973
3664, 3665
18041, 18059
18372, 31372
51348, 51349
